,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port blair,24.0,IN,1552018129.0,100.0,11.67,92.75,81.04,6.06
1,mataura,0.0,NZ,1552017609.0,48.0,-46.19,168.86,66.0,1.99
2,lebu,75.0,ET,1552014000.0,100.0,8.96,38.73,55.4,4.7
3,puerto ayora,0.0,EC,1552017970.0,99.0,-0.74,-90.35,78.79,12.66
4,cape town,0.0,ZA,1552018052.0,67.0,-33.93,18.42,62.01,18.34
6,chapais,90.0,CA,1552014000.0,70.0,49.78,-74.86,-0.41,8.05
7,cidreira,12.0,BR,1552018133.0,93.0,-30.17,-50.22,72.9,4.5
8,butaritari,76.0,KI,1552017964.0,100.0,3.07,172.79,81.76,9.75
9,morondava,48.0,MG,1552018133.0,100.0,-20.3,44.28,73.75,5.61
10,ancud,0.0,CL,1552017600.0,86.0,-41.87,-73.83,41.0,5.82
11,hithadhoo,0.0,MV,1552018133.0,100.0,-0.6,73.08,82.57,4.5
13,vanimo,20.0,PG,1552018134.0,100.0,-2.67,141.3,82.35,2.15
14,rikitea,80.0,PF,1552017959.0,96.0,-23.12,-134.97,81.45,16.58
15,vallenar,0.0,CL,1552018134.0,75.0,-28.58,-70.76,58.72,2.48
16,sisimiut,0.0,GL,1552017987.0,54.0,66.94,-53.67,-1.54,3.71
17,barrow,0.0,AR,1552018135.0,63.0,-38.31,-60.23,62.14,14.67
18,ndago,64.0,UG,1552018135.0,100.0,-0.97,29.98,55.62,2.15
20,khatanga,68.0,RU,1552018135.0,72.0,71.98,102.47,-2.89,2.93
21,albany,75.0,US,1552017981.0,56.0,42.65,-73.75,16.0,3.36
22,hermanus,80.0,ZA,1552017681.0,96.0,-34.42,19.24,60.01,5.06
23,ushuaia,20.0,AR,1552017600.0,100.0,-54.81,-68.31,42.8,10.29
24,labytnangi,44.0,RU,1552018136.0,53.0,66.66,66.39,-5.09,9.53
25,hobart,0.0,AU,1552018039.0,35.0,-42.88,147.33,71.6,11.41
26,te anau,0.0,NZ,1552018074.0,52.0,-45.41,167.72,60.57,3.38
27,vaini,0.0,IN,1552014000.0,31.0,15.34,74.49,77.0,3.36
28,south lake tahoe,75.0,US,1552018073.0,69.0,38.93,-119.98,39.99,4.94
29,yuli,12.0,NG,1552018137.0,44.0,10.52,9.86,65.97,3.6
30,namibe,68.0,AO,1552018137.0,100.0,-15.19,12.15,77.85,5.95
31,punta arenas,20.0,CL,1552017793.0,70.0,-53.16,-70.91,44.6,27.51
32,singaparna,44.0,ID,1552018137.0,75.0,-7.35,108.11,77.98,2.93
33,sao filipe,0.0,CV,1552018138.0,95.0,14.9,-24.5,70.29,18.48
36,nortelandia,12.0,BR,1552017864.0,76.0,-14.45,-56.8,77.62,6.4
37,banikoara,0.0,BJ,1552018138.0,66.0,11.3,2.44,70.51,2.15
38,saskylakh,12.0,RU,1552018138.0,69.0,71.97,114.09,-10.27,7.4
39,georgetown,0.0,GY,1552014000.0,94.0,6.8,-58.16,75.2,2.24
41,newport,0.0,GB,1552018091.0,86.0,51.59,-3.0,43.0,6.93
42,bodden town,40.0,KY,1552017604.0,94.0,19.28,-81.25,78.8,16.11
43,the valley,20.0,AI,1552017726.0,69.0,18.22,-63.06,77.0,11.41
44,carnarvon,0.0,ZA,1552018143.0,69.0,-30.97,22.13,58.36,15.46
45,colares,75.0,PT,1552018141.0,87.0,38.8,-9.45,55.4,12.75
46,saint-philippe,1.0,CA,1552018094.0,56.0,45.36,-73.48,12.99,4.7
47,martapura,20.0,ID,1552014000.0,74.0,-3.41,114.85,84.2,4.7
48,acapulco,5.0,MX,1552017000.0,88.0,16.86,-99.88,78.8,5.5
49,asandh,48.0,IN,1552018144.0,70.0,29.52,76.6,59.98,1.92
50,kaitangata,0.0,NZ,1552017920.0,61.0,-46.28,169.85,59.0,14.0
51,atuona,56.0,PF,1552018144.0,98.0,-9.8,-139.03,83.02,16.13
52,jamestown,32.0,AU,1552018145.0,33.0,-33.21,138.6,79.33,7.07
53,roald,92.0,NO,1552017902.0,100.0,62.58,6.12,32.0,11.41
54,thompson,75.0,CA,1552014000.0,55.0,55.74,-97.86,10.4,6.93
55,busselton,44.0,AU,1552017916.0,40.0,-33.64,115.35,80.01,8.52
56,duluth,1.0,US,1552018143.0,60.0,46.77,-92.13,10.99,3.36
57,hilo,75.0,US,1552018096.0,73.0,19.71,-155.08,72.0,9.17
58,new norfolk,0.0,AU,1552018039.0,35.0,-42.78,147.06,71.6,11.41
59,wajima,75.0,JP,1552014000.0,41.0,37.4,136.9,42.8,5.82
60,mar del plata,0.0,AR,1552018147.0,88.0,-46.43,-67.52,45.85,2.59
61,tasiilaq,36.0,GL,1552013400.0,45.0,65.61,-37.64,23.0,13.87
